路線別着時間帯別駅間輸送定員表,,,単位：人,,,,,,,,,,,,,,,,,,,,
事業者名,路線名,方向,発駅名,着駅名,"始発～
　 6:59","7:00～
　 7:29","7:30～
　 7:59","8:00～
　 8:29","8:30～
　 8:59","9:00～
　 9:29","9:30～
　 9:59","10:00～
　 10:59","11:00～
　 12:59","13:00～
　 14:59","15:00～
　 16:59","17:00～
　 17:59","18:00～
　 18:59","19:00～
　 19:59","20:00～
　 20:59","21:00～
　 21:59","22:00～
　 22:59","23:00～
　 23:59","24:00～
　   終発"
西日本旅客鉄道,東海道本線,下り,彦根,南彦根,"15,935","7,410","4,379","3,567","3,571","2,184","2,164","4,085","7,895","9,263","12,072","6,020","7,661","6,315","6,859","4,426","4,374","1,646",0
,,,南彦根,河瀬,"14,289","7,666","5,521","3,815","3,571","1,102","3,246","4,085","7,895","9,263","12,072","6,020","7,661","6,315","5,213","6,072","4,374","1,646",0
,,,河瀬,稲枝,"14,289","7,666","5,521","3,815","3,571","1,102","3,246","4,085","7,895","9,263","12,072","6,020","7,661","6,315","5,213","6,072","4,374","1,646",0
,,,稲枝,能登川,"12,643","9,312","5,521","3,815","1,925","2,748","2,164","4,085","7,895","8,699","13,718","6,020","7,661","6,315","5,213","6,072","4,374","1,646",0
,,,能登川,安土,"12,643","7,666","7,167","2,169","3,571","2,748","2,164","4,085","7,895","8,699","12,072","6,020","7,661","6,315","5,213","7,718","3,292","2,728",0
,,,安土,近江八幡,"14,041","8,478","6,603","2,733","3,551","3,850","1,082","5,167","7,895","8,699","12,072","6,020","6,579","7,397","5,213","6,040","4,970","2,728",0
,,,近江八幡,篠原,"14,041","8,478","5,764","3,572","3,551","3,850","1,082","5,167","7,895","8,699","12,072","6,020","6,579","7,397","4,374","6,879","4,970","2,728",0
,,,篠原,野洲,"12,395","6,832","9,056","3,572","2,728","3,571","2,184","4,085","7,895","8,417","13,436","6,020","6,579","7,397","4,374","6,879","4,970","2,728",0
,,,野洲,守山,"23,084","8,478","7,666","6,608","5,213","3,571","4,912","6,554","13,901","15,513","23,062","10,702","12,317","7,659","11,516","8,525","8,262","4,374",0
,,,守山,栗東,"21,438","10,124","6,020","6,608","5,213","5,217","3,830","7,636","13,901","15,513","21,416","10,702","12,317","9,305","9,870","8,525","8,262","6,020",0
,,,栗東,草津,"21,438","8,478","7,666","6,608","5,213","5,217","3,830","7,636","13,901","15,513","21,416","10,702","12,317","9,305","9,870","8,525","8,262","6,020",0
,,,草津,南草津,"20,854","10,124","9,206","7,690","5,891","5,217","3,830","7,636","13,901","15,513","21,416","11,190","12,690","11,129","12,004","8,525","8,262","6,020",0
,,,南草津,瀬田,"19,208","10,124","10,852","6,603","5,896","5,197","3,850","7,895","13,885","15,270","21,134","11,164","12,998","11,372","11,741","8,525","9,364","6,020",0
,,,瀬田,石山,"17,562","10,124","11,522","7,579","5,896","5,197","3,850","7,895","13,885","15,270","21,134","11,164","12,998","11,372","11,741","8,525","7,718","7,666",0
,,,石山,膳所,"17,562","8,478","11,522","8,386","6,735","5,197","2,204","8,459","13,885","15,270","22,216","11,164","12,998","11,372","11,741","8,525","7,718","7,666",0
,,,膳所,大津,"14,270","11,522","10,124","10,032","5,089","5,197","3,850","8,459","13,885","15,270","20,570","11,164","12,998","11,372","11,253","10,659","7,718","6,020","1,646"
,,,大津,山科,"14,270","11,522","10,124","8,386","6,735","5,197","3,850","8,459","13,885","15,270","20,570","11,164","12,998","11,372","11,253","10,659","7,718","6,020","1,646"
,,,山科,京都,"16,222","12,040","13,960","11,570","9,056","6,867","6,843","11,938","21,437","22,759","30,761","17,090","16,810","15,640","15,239","12,831","11,440","10,656","1,646"
,,,京都,西大路,"21,140","12,499","18,212","8,979","10,642","7,727","8,469","15,642","18,449","20,960","35,239","18,834","19,324","16,165","16,853","12,221","12,586","9,779","2,130"
,,,西大路,桂川,"21,140","12,499","15,501","10,608","11,724","7,727","8,469","15,642","18,449","20,960","33,593","18,834","18,259","17,230","16,853","13,867","12,586","9,779","2,130"
,,,桂川,向日町,"21,140","11,434","14,920","12,254","10,339","8,030","8,449","15,662","18,449","20,940","34,695","18,834","18,259","17,230","16,853","12,802","13,651","8,714","3,195"
,,,向日町,長岡京,"20,075","12,499","14,920","12,254","10,339","8,030","8,449","15,662","18,449","20,940","32,769","19,114","18,541","17,512","15,743","14,994","11,973","10,392","3,195"
,,,長岡京,山崎,"18,973","10,309","16,611","13,855","9,274","9,095","8,449","15,662","18,449","20,940","32,769","19,114","18,541","17,512","15,743","14,994","11,973","8,746","4,841"
,,,山崎,島本,"18,973","9,244","16,030","13,855","10,672","8,278","8,449","15,414","19,514","20,940","31,952","19,114","18,541","17,512","15,743","16,059","11,973","8,746","4,841"
,,,島本,高槻,"17,908","10,309","14,965","13,855","10,672","9,343","8,449","15,414","19,514","20,940","31,952","19,114","18,541","17,512","15,743","15,220","12,812","8,746","4,841"
,,,高槻,摂津富田,"24,261","12,712","19,473","18,115","12,810","11,207","10,595","18,851","36,312","37,721","41,255","23,374","22,446","22,127","20,265","18,936","16,007","13,587","3,776"
,,,摂津富田,茨木,"22,231","13,096","18,408","19,513","12,477","10,823","10,731","19,663","36,312","37,721","42,089","23,374","22,446","22,127","20,513","17,871","16,007","13,587","4,841"
,,,茨木,千里丘,"21,166","13,096","18,160","18,115","14,123","10,823","10,731","19,663","36,312","37,721","41,508","23,374","22,446","22,127","20,513","19,517","15,461","14,133","4,841"
,,,千里丘,岸辺,"21,166","12,031","17,579","19,761","13,058","11,888","10,731","19,663","36,312","37,721","40,443","23,374","22,446","22,127","20,513","20,582","15,461","14,133","4,841"
,,,岸辺,吹田,"20,101","13,096","16,514","19,761","13,041","11,905","11,796","19,663","36,312","37,721","40,443","22,838","22,982","22,127","20,513","19,517","15,461","14,133","5,906"
,,,吹田,東淀川,"20,084","11,435","16,546","21,407","14,106","11,905","10,731","19,663","36,312","37,721","40,443","22,838","22,446","22,663","20,513","20,582","15,461","14,133","5,906"
,,,東淀川,新大阪,"19,019","11,435","17,611","18,696","15,206","12,677","11,570","19,127","36,848","37,721","39,897","23,384","22,446","22,663","20,513","20,582","14,359","15,235","5,906"
,,,新大阪,大阪,"18,251","10,803","16,546","19,513","14,620","12,429","9,766","18,631","36,595","36,418","39,683","22,528","21,924","22,475","20,260","20,319","15,461","15,235","5,906"
,,,大阪,塚本,"18,251","9,155","14,356","17,331","12,974","11,918","10,451","18,649","35,123","34,780","38,027","21,436","20,998","20,612","19,962","19,773","14,915","14,108","5,422"
