性・年齢階層別利用者数,,,,,,,,,,,,,,,,,,,
　属性別利用者数：居住地ブロック別性・年齢階層別利用者数（定期券利用者、通勤・通学別）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
通勤・通学,性別,地域,～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70歳～,不明,,,
通勤,男性,都心３区,0,0,"1,254","1,778","2,062","2,564","1,932","1,422","1,266",852,513,391,186,205,,,
通勤,男性,副都心２区,26,0,736,283,382,658,614,808,540,584,237,83,129,187,,,
通勤,男性,その他区部,0,"2,204","12,889","13,268","11,709","12,955","14,704","11,730","9,646","7,980","5,839","3,707",885,"1,709",,,
通勤,男性,大阪北西部,0,222,"1,123","3,763","4,645","5,472","6,234","4,606","4,652","4,048","3,517","2,044","1,431","1,130",,,
通勤,男性,大阪北東部,0,0,"7,110","6,357","10,664","10,814","12,419","10,538","9,029","6,123","5,870","3,808","1,786","1,770",,,
通勤,男性,北河内,0,0,"2,734","3,794","6,277","6,835","7,732","6,561","6,044","4,728","3,696","2,059",954,"1,056",,,
通勤,男性,中河内,0,114,"5,805","4,889","4,433","4,607","4,546","5,108","4,541","2,746","2,526","1,604",703,"1,072",,,
通勤,男性,南河内,0,0,"2,520","2,799","2,609","2,515","2,995","2,723","2,900","2,639","2,275","1,513","1,056",644,,,
通勤,男性,泉北,0,0,"4,468","4,747","7,246","7,449","8,469","6,769","6,513","4,388","3,563","2,339","1,045","1,431",,,
通勤,男性,泉南,0,0,"2,625",762,"1,536","2,534","3,510","3,024","3,278","2,482","2,094","1,225",476,700,,,
通勤,男性,神戸市,0,169,"6,820","10,729","10,182","12,053","14,291","12,549","10,605","9,936","8,903","5,532","3,626","2,604",,,
通勤,男性,阪神臨海,0,0,"4,172","7,337","11,440","12,606","11,629","11,369","9,475","6,964","5,762","3,476","1,645","1,540",,,
通勤,男性,阪神内陸,0,0,"2,526","2,468","3,922","4,384","5,150","5,227","5,754","4,786","4,318","1,970","1,059","1,115",,,
通勤,男性,篠山市,0,0,0,168,0,0,146,23,189,131,85,24,0,77,,,
通勤,男性,東播臨海,0,775,"1,922","4,258","5,264","4,608","4,493","5,333","4,508","3,497","3,219","1,985",792,"1,157",,,
通勤,男性,東播内陸,0,0,183,95,198,53,301,466,205,216,340,0,34,87,,,
通勤,男性,姫路市,0,110,253,815,726,"1,216","1,978","1,321","1,218",990,932,320,196,182,,,
通勤,男性,京都中部,0,0,0,229,440,277,775,446,451,487,468,475,171,133,,,
通勤,男性,京都市,0,35,"2,694","5,000","4,465","5,739","5,847","5,195","4,816","3,733","2,989","1,638",582,902,,,
通勤,男性,京都南部,18,0,"1,535","2,442","3,410","4,759","4,995","4,030","3,025","3,122","2,691","1,278",934,760,,,
通勤,男性,北和,0,0,"1,538","3,062","3,986","3,703","5,699","5,192","4,583","5,227","4,460","2,552","1,881","1,247",,,
通勤,男性,中和西部,0,628,885,503,"1,706","1,406","1,867","1,639","1,545",989,"1,137",671,207,505,,,
通勤,男性,中和東部,0,682,"2,045",450,678,"1,328","1,399","1,117",812,908,870,492,100,136,,,
通勤,男性,南和,0,0,0,256,0,73,74,89,28,31,17,21,50,22,,,
通勤,男性,大津湖南,0,117,"1,766","3,266","4,925","4,787","4,790","4,617","3,870","3,198","2,942","1,500",533,"1,104",,,
